Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N13,40.09,1.05E-06,16.82069591,62.83,3.73538963,406.2687455,1517.572059,1.04E+01,0.025669969,1.220164609,3.756329114,5.60E-02,3.078542916
GW65N13,50.45,1.22E-06,19.63831063,15.71,0.799863266,474.3223386,379.3930147,2.44E+01,0.051339937,2.581967213,8.756410256,1.12E-01,3.391371591
GW65N13,50.1,1.21E-06,19.5464093,21.99,1.125073574,472.1026542,531.1502206,2.05E+01,0.043390167,2.151821862,7.056603774,9.89E-02,3.279362431
GW65N13,50.23,1.22E-06,19.58056845,25.13,1.28355524,472.9276971,607.0288235,1.92E+01,0.040587784,2.010121457,6.64375,9.21E-02,3.30514854
GW65N13,50.1,1.21E-06,19.5464093,28.27,1.446523167,472.1026542,682.9074265,1.81E+01,0.03826653,1.906504065,6.32278481,8.59E-02,3.316428706
GW65N13,50.1,1.21E-06,19.5464093,31.42,1.607247963,472.1026542,758.7860294,1.71E+01,0.036302818,1.889121339,6.056962025,8.07E-02,3.20623239
GW65N13,50.05,1.21E-06,19.53326347,34.56,1.769162601,471.785144,834.6646324,1.63E+01,0.034613379,1.829218107,5.683229814,7.81E-02,3.106917536
GW65N13,49.92,1.21E-06,19.49906423,37.7,1.933380566,470.9591331,910.5432353,1.56E+01,0.033139787,1.660493827,5.458598726,7.44E-02,3.287334549
GW65N13,49.97,1.21E-06,19.51222122,40.84,2.093083306,471.2769126,986.4218382,1.50E+01,0.031839678,1.640495868,5.18125,7.24E-02,3.158343829
GW65N13,50,1.21E-06,19.52011335,43.98,2.253178369,471.4675304,1062.300441,1.45E+01,0.030681481,1.552845528,5.025316456,6.94E-02,3.236198555
GW65N13,49.69,1.21E-06,19.43848663,47.12,2.424257129,469.4960078,1138.179044,1.39E+01,0.029641127,1.56302521,4.73006135,6.85E-02,3.026222046
GW65N13,49.82,1.21E-06,19.47273736,50.27,2.58132596,470.3232624,1214.057647,1.35E+01,0.028699897,1.559322034,4.672955975,6.51E-02,2.996786984
GW65N13,49.64,1.21E-06,19.4253055,53.41,2.749355737,469.177645,1289.93625,1.31E+01,0.02784299,1.5125,4.553459119,6.27E-02,3.010551484
GW65N13,49.82,1.21E-06,19.47273736,56.55,2.903991705,470.3232624,1365.814853,1.27E+01,0.027058523,1.457627119,4.360248447,6.20E-02,2.991333237
GW65N13,49.84,1.21E-06,19.47800411,59.69,3.06449573,470.4504699,1441.693456,1.24E+01,0.026336832,1.458333333,4.254658385,6.02E-02,2.917480035
GW65N13,49.82,1.21E-06,19.47273736,62.83,3.22665745,470.3232624,1517.572059,1.21E+01,0.025669969,1.404564315,4.136645963,5.88E-02,2.945145279
GW65N13,60.84,1.38E-06,22.27928907,15.71,0.705047779,538.1096519,379.3930147,2.76E+01,0.051339937,2.838709677,9.125786164,1.22E-01,3.21476558
GW65N13,60.97,1.39E-06,22.31135341,18.85,0.844841439,538.8840991,455.2716176,2.53E+01,0.046866736,2.572289157,8.39375,1.11E-01,3.263144028
GW65N13,60.87,1.39E-06,22.28669052,21.99,0.986739084,538.2884183,531.1502206,2.34E+01,0.043390167,2.376,7.782608696,1.02E-01,3.27550871
